1 [H]C([H])=C([H])[H]OO [H]C([H])=C([H])[H]
1 [H]C([H])=C([H])[H]OOC([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])C(O)O [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])C([H])(=O)OO [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])C([H])([H])C([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])C([H])([H])O [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])O([H])C([H])([H])C=O [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])O=OC([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])OC([H])([H])OO [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])OOC([H])([H])C([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])OOC([H])([H])C([H])C([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C([H])C([H])([H])[H]O=O [H]C([H])=C([H])[H]
1 [H]C([H])C([H])[H]OC([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]C=C([H])([H])[H] [H]C([H])=C([H])[H]
1 [H]OC#COC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]OC#CO[H]C([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]OC([H])([H])C([H])([H])O=O [H]C([H])=C([H])[H]
1 [H]OC([H])([H])O=OC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]OC([H])([H])OC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]OOC([H])([H])C([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]OOC([H])([H])C([H])([H])O=O [H]C([H])=C([H])[H]
1 [H]OO[H]C([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]OO[H]O([H])C([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]O[H]C([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H]O[H]OOC([H])([H])C([H])[H] [H]C([H])=C([H])[H]
1 [H][H]C([H])C([H])([H])O=O [H]C([H])=C([H])[H]
1 [H][H]C([H])C([H])[H] [H]C([H])=C([H])[H]
