1,[H]C([H])=C([H])[H],[H]OC([H])([H])O=OC([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]OC([H])([H])OC([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]OC([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]OC([H])=C([H])OC([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]OC=C([H])[H]
1,[H]C([H])=C([H])[H],[H]OC=COC([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]OO([H])C([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]OOC([H])C([H])([H])[H]
1,[H]C([H])=C([H])[H],[H]OO[H]O(O[H])C([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]O[H]C([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]O[H]O([H])C([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H]O[H]OC([H])([H])C([H])[H]
1,[H]C([H])=C([H])[H],[H][H]C([H])=C([H])[H]
1,[H]C([H])=C([H])[H],[H][H]C([H])C([H])([H])O=O
